# Theoretical AGN LF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-2 Mpc-3, n_0l = 1e0 Mpc-3
# Data explanation: M_1450 [mag], UV magnitude at 1450 Angstrom; Phi_h [Mpc-3 mag-1], unobscured AGN LF of heavy-seed BHs; Phi_l [Mpc-3 mag-1], unobscured AGN LF of light-seed BHs; Phi_h_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of heavy-seed BHs; Phi_l_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of light-seed BHs.
M_1450, Phi_h, Phi_l, Phi_h_intrinsic, Phi_l_intrinsic
-3.192058823529411882e+01, 1.017095707209252966e-12, 1.639784774262597923e-42, 1.271369634011566157e-12, 2.049730967828247643e-42
-3.176176470588235290e+01, 1.347307615117904335e-12, 3.461474141210320330e-39, 1.684134518897380520e-12, 4.326842676512900086e-39
-3.160294117647058698e+01, 1.779324178596473788e-12, 9.362975082462493741e-37, 2.224155223245592488e-12, 1.170371885307811759e-36
-3.144411764705882462e+01, 2.344043795847622744e-12, 1.248409686332897795e-34, 2.930054744809528429e-12, 1.560512107916122404e-34
-3.128529411764705870e+01, 3.081688780636319502e-12, 9.195115731592207153e-33, 3.852110975795399175e-12, 1.149389466449025860e-32
-3.112647058823529278e+01, 4.044587502387878987e-12, 4.160037636682742714e-31, 5.055734377984849340e-12, 5.200047045853428611e-31
-3.096764705882353041e+01, 5.300776323420451219e-12, 1.368896620277963290e-29, 6.625970404275563418e-12, 1.711120775347453973e-29
-3.080882352941176450e+01, 6.903751285881477625e-12, 3.360449217389917370e-28, 8.673325411426955235e-12, 4.221801797901294252e-28
-3.064999999999999858e+01, 8.940724849228284380e-12, 6.400474321501417309e-27, 1.134130091118608567e-11, 8.118995548860081329e-27
-3.049117647058823621e+01, 1.156719430863013302e-11, 9.742664952858503259e-26, 1.481613115390335026e-11, 1.247913693490845857e-25
-3.033235294117647030e+01, 1.495171731631302928e-11, 1.210753449298823874e-24, 1.933935936674492221e-11, 1.566053956555802837e-24
-3.017352941176470438e+01, 1.931041713448871804e-11, 1.250831383386077572e-23, 2.522406629970485107e-11, 1.633887736579821002e-23
-3.001470588235294201e+01, 2.492019513668408286e-11, 1.092060830528313115e-22, 3.287579125911564579e-11, 1.440693530278772524e-22
-2.985588235294117965e+01, 3.213553920827875492e-11, 8.177258867532033862e-22, 4.281947379291164424e-11, 1.089590933908890875e-21
-2.969705882352941018e+01, 4.140987893769228783e-11, 5.321796110149431333e-21, 5.573411062802443874e-11, 7.162676654745806344e-21
-2.953823529411764781e+01, 5.332268261025403523e-11, 3.046747243908882409e-20, 7.249728876303269791e-11, 4.142344381735222891e-20
-2.937941176470588545e+01, 6.861379667378035896e-11, 1.551299698236620365e-19, 9.424234850605843655e-11, 2.130739499719683188e-19
-2.922058823529411598e+01, 8.822691021036270733e-11, 7.095124784391012421e-19, 1.224316829776822080e-10, 9.845840302221382077e-19
-2.906176470588235361e+01, 1.133645027566795285e-10, 2.941522033956544005e-18, 1.589506345401454199e-10, 4.124366820668323713e-18
-2.890294117647059124e+01, 1.455572250843222812e-10, 1.114637993244124642e-17, 2.062276553247661449e-10, 1.579235793685085381e-17
-2.874411764705882177e+01, 1.867493253341954103e-10, 3.889933302442274073e-17, 2.673849588818225524e-10, 5.569549738748676091e-17
-2.858529411764705941e+01, 2.394010830003261225e-10, 1.258982538200324369e-16, 3.464233065806257952e-10, 1.821800003344309584e-16
-2.842647058823529704e+01, 3.066560282131104303e-10, 3.803130698665795612e-16, 4.485133582442981493e-10, 5.562437273579915885e-16
-2.826764705882352757e+01, 3.924901136742345172e-10, 1.078589047436264588e-15, 5.802792078987852433e-10, 1.594646021107430070e-15
-2.810882352941176521e+01, 5.019332481576083635e-10, 2.887397266596850149e-15, 7.502086288682827483e-10, 4.315614381638797720e-15
-2.795000000000000284e+01, 6.413449668897816569e-10, 7.332375142854783810e-15, 9.691723491096335406e-10, 1.108036331245570768e-14
-2.779117647058823337e+01, 8.187565602419275331e-10, 1.774372757928537696e-14, 1.251079803875581801e-09, 2.711284440072732009e-14
-2.763235294117647101e+01, 1.044294863337729459e-09, 4.108805039861630235e-14, 1.613705824967205511e-09, 6.349167135886813436e-14
-2.747352941176470864e+01, 1.330713925264359954e-09, 9.139216075164207381e-14, 2.079743219814692899e-09, 1.428347769259890449e-13
-2.731470588235293917e+01, 1.694053134621164270e-09, 1.959430520906090704e-13, 2.678129390201395428e-09, 3.097664623884266735e-13
-2.715588235294117680e+01, 2.154448590897036703e-09, 4.062034761711984483e-13, 3.445713086910765787e-09, 6.496607251180565004e-13
-2.699705882352941444e+01, 2.737143801733858134e-09, 8.165519331557930245e-13, 4.429365335219156106e-09, 1.321379908806900815e-12
-2.683823529411764497e+01, 3.473725192769572367e-09, 1.595731440954158744e-12, 5.688615501460139590e-09, 2.613189618474607903e-12
-2.667941176470588260e+01, 4.403635391238642421e-09, 3.038537443057841713e-12, 7.298947891944594725e-09, 5.036322150722735449e-12
